Date,Latitude,Longitude,Altitude,NO2,PM2.5,O3,PM10
2023-09-18 18:35:00+00:00,46.5592,15.656191,270.0,30.0,17.0,0,46.0
2023-03-13 21:15:00+00:00,46.5592,15.656191,270.0,64.0,28.0,0,46.0
2023-12-06 19:35:00+00:00,46.5592,15.656191,270.0,32.0,42.0,0,46.0
2023-02-18 17:15:00+00:00,46.5592,15.656191,270.0,69.0,28.0,0,46.0
2023-02-18 17:35:00+00:00,46.5592,15.656191,270.0,69.0,28.0,0,46.0
2023-12-06 23:35:00+00:00,46.5592,15.656191,270.0,29.0,44.0,0,46.0
2023-03-13 09:35:00+00:00,46.5592,15.656191,270.0,64.0,25.0,0,46.0
2023-03-04 09:35:00+00:00,46.5592,15.656191,270.0,,35.0,0,46.0
2023-03-13 09:15:00+00:00,46.5592,15.656191,270.0,64.0,25.0,0,46.0
2023-03-13 21:35:00+00:00,46.5592,15.656191,270.0,64.0,28.0,0,46.0
2023-12-09 12:35:00+00:00,46.5592,15.656191,270.0,31.0,42.0,0,46.0
2023-03-04 09:15:00+00:00,46.5592,15.656191,270.0,,35.0,0,46.0
2023-06-20 09:35:00+00:00,46.5592,15.656191,270.0,50.0,24.0,0,46.0
2023-03-03 17:15:00+00:00,46.5592,15.656191,270.0,51.0,29.0,0,46.0
2023-06-21 21:35:00+00:00,46.5592,15.656191,270.0,33.0,28.0,0,46.0
2023-10-13 20:35:00+00:00,46.5592,15.656191,270.0,42.0,24.0,0,46.0
2023-10-13 23:35:00+00:00,46.5592,15.656191,270.0,35.0,28.0,0,46.0
2023-06-20 10:35:00+00:00,46.5592,15.656191,270.0,49.0,25.0,0,46.0
2023-03-03 17:35:00+00:00,46.5592,15.656191,270.0,51.0,29.0,0,46.0
2023-06-22 23:35:00+00:00,46.5592,15.656191,270.0,24.0,25.0,0,46.0
2023-06-23 15:35:00+00:00,46.5592,15.656191,270.0,39.0,18.0,0,46.0
2023-02-20 11:35:00+00:00,46.5592,15.656191,270.0,38.0,27.0,0,45.0
2023-02-23 19:15:00+00:00,46.5592,15.656191,270.0,46.0,33.0,0,45.0
2023-02-20 11:15:00+00:00,46.5592,15.656191,270.0,38.0,27.0,0,45.0
2023-02-15 22:35:00+00:00,46.5592,15.656191,270.0,26.0,41.0,0,45.0
2023-12-09 13:35:00+00:00,46.5592,15.656191,270.0,33.0,42.0,0,45.0
2023-12-09 09:35:00+00:00,46.5592,15.656191,270.0,35.0,41.0,0,45.0
2023-02-23 19:35:00+00:00,46.5592,15.656191,270.0,46.0,33.0,0,45.0
2023-11-20 15:35:00+00:00,46.5592,15.656191,270.0,59.0,23.0,0,45.0
2023-09-12 13:35:00+00:00,46.5592,15.656191,270.0,40.0,23.0,0,45.0
2023-03-05 21:35:00+00:00,46.5592,15.656191,270.0,48.0,36.0,0,45.0
2023-02-22 08:15:00+00:00,46.5592,15.656191,270.0,32.0,20.0,0,45.0
2023-03-05 21:15:00+00:00,46.5592,15.656191,270.0,48.0,36.0,0,45.0
2023-06-23 14:35:00+00:00,46.5592,15.656191,270.0,42.0,18.0,0,45.0
2023-12-08 18:35:00+00:00,46.5592,15.656191,270.0,57.0,41.0,0,45.0
2023-02-22 08:35:00+00:00,46.5592,15.656191,270.0,32.0,20.0,0,45.0
2023-10-14 09:35:00+00:00,46.5592,15.656191,270.0,8.0,20.0,0,45.0
